Benchmark                (arraySize)  (arraySubSize)  (dataTweaker)  (distBuilder)     (tSorter)  Mode  Cnt      Score       Error  Units
ArraySortBenchmark.sort          500               1     IDENT_____        STAGGER      BASELINE  avgt   20     35.623 ±     0.376  ns/op
ArraySortBenchmark.sort          500               1     IDENT_____        STAGGER        DPQ_11  avgt   20   1405.967 ±     8.533  ns/op
ArraySortBenchmark.sort          500               1     IDENT_____        STAGGER  DPQ_18_11_21  avgt   20   8208.727 ±    38.040  ns/op
ArraySortBenchmark.sort          500               1     IDENT_____        STAGGER    DPQ_18_11I  avgt   20   7925.537 ±   122.807  ns/op
ArraySortBenchmark.sort          500               1     IDENT_____        STAGGER    DPQ_18_11P  avgt   20   6977.612 ±    71.065  ns/op
ArraySortBenchmark.sort          500               1     IDENT_____        STAGGER         RADIX  avgt   20   1447.840 ±     2.897  ns/op
ArraySortBenchmark.sort          500               1     IDENT_____        SAWTOTH      BASELINE  avgt   20     35.605 ±     0.349  ns/op
ArraySortBenchmark.sort          500               1     IDENT_____        SAWTOTH        DPQ_11  avgt   20    234.524 ±     0.926  ns/op
ArraySortBenchmark.sort          500               1     IDENT_____        SAWTOTH  DPQ_18_11_21  avgt   20    226.532 ±     3.600  ns/op
ArraySortBenchmark.sort          500               1     IDENT_____        SAWTOTH    DPQ_18_11I  avgt   20    230.530 ±     3.071  ns/op
ArraySortBenchmark.sort          500               1     IDENT_____        SAWTOTH    DPQ_18_11P  avgt   20    278.402 ±     7.588  ns/op
ArraySortBenchmark.sort          500               1     IDENT_____        SAWTOTH         RADIX  avgt   20    349.579 ±     1.843  ns/op
ArraySortBenchmark.sort          500               1     IDENT_____        _RANDOM      BASELINE  avgt   20     35.635 ±     0.383  ns/op
ArraySortBenchmark.sort          500               1     IDENT_____        _RANDOM        DPQ_11  avgt   20    234.540 ±     0.918  ns/op
ArraySortBenchmark.sort          500               1     IDENT_____        _RANDOM  DPQ_18_11_21  avgt   20    229.715 ±     3.797  ns/op
ArraySortBenchmark.sort          500               1     IDENT_____        _RANDOM    DPQ_18_11I  avgt   20    227.456 ±     0.788  ns/op
ArraySortBenchmark.sort          500               1     IDENT_____        _RANDOM    DPQ_18_11P  avgt   20    269.708 ±     1.120  ns/op
ArraySortBenchmark.sort          500               1     IDENT_____        _RANDOM         RADIX  avgt   20    349.480 ±     1.887  ns/op
ArraySortBenchmark.sort          500               1     IDENT_____        PLATEAU      BASELINE  avgt   20     42.061 ±     6.433  ns/op
ArraySortBenchmark.sort          500               1     IDENT_____        PLATEAU        DPQ_11  avgt   20    237.791 ±     1.765  ns/op
ArraySortBenchmark.sort          500               1     IDENT_____        PLATEAU  DPQ_18_11_21  avgt   20    437.045 ±     1.506  ns/op
ArraySortBenchmark.sort          500               1     IDENT_____        PLATEAU    DPQ_18_11I  avgt   20    436.690 ±    14.051  ns/op
ArraySortBenchmark.sort          500               1     IDENT_____        PLATEAU    DPQ_18_11P  avgt   20    436.174 ±     0.642  ns/op
ArraySortBenchmark.sort          500               1     IDENT_____        PLATEAU         RADIX  avgt   20    419.521 ±     1.923  ns/op
ArraySortBenchmark.sort          500               1     IDENT_____        SHUFFLE      BASELINE  avgt   20     35.579 ±     0.359  ns/op
ArraySortBenchmark.sort          500               1     IDENT_____        SHUFFLE        DPQ_11  avgt   20    237.643 ±     1.661  ns/op
ArraySortBenchmark.sort          500               1     IDENT_____        SHUFFLE  DPQ_18_11_21  avgt   20    978.600 ±     3.724  ns/op
ArraySortBenchmark.sort          500               1     IDENT_____        SHUFFLE    DPQ_18_11I  avgt   20    982.973 ±     2.062  ns/op
ArraySortBenchmark.sort          500               1     IDENT_____        SHUFFLE    DPQ_18_11P  avgt   20   1333.185 ±     1.416  ns/op
ArraySortBenchmark.sort          500               1     IDENT_____        SHUFFLE         RADIX  avgt   20    325.470 ±     1.716  ns/op
ArraySortBenchmark.sort          500               1     REVERSE___        STAGGER      BASELINE  avgt   20     36.217 ±     2.141  ns/op
ArraySortBenchmark.sort          500               1     REVERSE___        STAGGER        DPQ_11  avgt   20   1892.701 ±    21.617  ns/op
ArraySortBenchmark.sort          500               1     REVERSE___        STAGGER  DPQ_18_11_21  avgt   20   6248.845 ±    19.691  ns/op
ArraySortBenchmark.sort          500               1     REVERSE___        STAGGER    DPQ_18_11I  avgt   20   6261.357 ±    14.841  ns/op
ArraySortBenchmark.sort          500               1     REVERSE___        STAGGER    DPQ_18_11P  avgt   20   6154.943 ±    19.646  ns/op
ArraySortBenchmark.sort          500               1     REVERSE___        STAGGER         RADIX  avgt   20   1841.244 ±    20.426  ns/op
ArraySortBenchmark.sort          500               1     REVERSE___        SAWTOTH      BASELINE  avgt   20     35.635 ±     0.352  ns/op
ArraySortBenchmark.sort          500               1     REVERSE___        SAWTOTH        DPQ_11  avgt   20    235.189 ±     2.661  ns/op
ArraySortBenchmark.sort          500               1     REVERSE___        SAWTOTH  DPQ_18_11_21  avgt   20    226.002 ±     2.072  ns/op
ArraySortBenchmark.sort          500               1     REVERSE___        SAWTOTH    DPQ_18_11I  avgt   20    227.248 ±     0.789  ns/op
ArraySortBenchmark.sort          500               1     REVERSE___        SAWTOTH    DPQ_18_11P  avgt   20    270.519 ±     0.757  ns/op
ArraySortBenchmark.sort          500               1     REVERSE___        SAWTOTH         RADIX  avgt   20    349.994 ±     1.442  ns/op
ArraySortBenchmark.sort          500               1     REVERSE___        _RANDOM      BASELINE  avgt   20     35.593 ±     0.359  ns/op
ArraySortBenchmark.sort          500               1     REVERSE___        _RANDOM        DPQ_11  avgt   20    234.511 ±     0.834  ns/op
ArraySortBenchmark.sort          500               1     REVERSE___        _RANDOM  DPQ_18_11_21  avgt   20    225.873 ±     0.741  ns/op
